AAA;NTGA;Anaa Airport;Anaa, Tuamotus, French Polynesia
QUO;DNAI;Akwa Ibom International Airport;Uyo, Akwa Ibom State, Nigeria
QUS;DNGU;Gusau Airport;Gusau, Nigeria
QUT;RJTU;Utsunomiya Airport;Nikk? / Utsunomiya, Tochigi Prefecture, Japan
QUV;BGAQ;Aappilattoq Heliport (Kujalleq);Aappilattoq, Kujalleq, Greenland
QUW;BGAS;Ammassivik Heliport;Ammassivik, Greenland
QVB;SSUV;Uniao da Vitoria Airport;Uniao da Vitoria, Parana, Brazil
QWG;;Wilgrove Air Park (FAA: 8A6);Charlotte, North Carolina, United States
QXB;LFMA;Aix Les Milles Airport;Aix-en-Provence / Les Milles, France
QYD;EPOK;Gdynia-Babie Do?y Airport;Gdynia, Poland
QYR;LFQB;Barberey Airport;Troyes, France
QZO;LIQB;Molin Bianco Airport;Arezzo, Italy
RAB;AYTK;Tokua Airport;Rabaul, Papua New Guinea
RAC;KRAC;John H. Batten Airport;Racine, Wisconsin, United States
RAE;OERR;Arar Domestic Airport;Arar, Saudi Arabia
RAF;;Ras an-Naqb Airport;Ras el Naqb, Egypt
RAI;GVNP;Praia International Airport;Praia, Cape Verde
RAJ;VARK;Rajkot Airport;Rajkot, India
RAK;GMMX;Menara International Airport;Marrakech, Morocco
RAL;KRAL;Riverside Municipal Airport;Riverside, California, United States
RAO;SBRP;Leite Lopes Airport;Ribeirao Preto, Sao Paulo, Brazil
RAP;KRAP;Rapid City Regional Airport;Rapid City, South Dakota, United States
RAR;NCRG;Rarotonga International Airport;Avarua, Cook Islands
RAT;USNR;Raduzhny Airport;Raduzhny, Khanty-Mansi Autonomous Okrug, Russia
RBA;GMME;Sale Airport;Rabat, Morocco
RBB;SWBR;Borba Airport;Borba, Amazonas, Brazil
RBC;YROI;Robinvale Airport;Robinvale, Victoria, Australia
RBD;KRBD;Dallas Executive Airport;Dallas, Texas, United States
RBE;VDRK;Ratanakiri Airport;Ratanakiri, Cambodia
RBG;KRBG;Roseburg Regional Airport;Roseburg, Oregon, United States
RBL;KRBL;Red Bluff Municipal Airport;Red Bluff, California, United States
RBM;EDMS;Straubing Wallmuhle Airport;Straubing, Bavaria, Germany
RBQ;SLRQ;Rurrenabaque Airport;Rurrenabaque, Bolivia
RBR;SBRB;Rio Branco International Airport (Presidente Medici Airport);Rio Branco, Acre, Brazil
RBW;KRBW;Lowcountry Regional Airport;Walterboro, South Carolina, United States
RBY;PARY;Ruby Airport;Ruby, Alaska, United States
RCA;KRCA;Ellsworth Air Force Base;Rapid City, South Dakota, United States
RCB;FARB;Richards Bay Airport;Richards Bay, KwaZulu-Natal, South Africa
RCE;;Roche Harbor Seaplane Base;San Juan Island, Washington, United States
RCH;SKRH;Almirante Padilla Airport;Riohacha, Colombia
RCK;KRCK;H. H. Coffield Regional Airport;Rockdale, Texas, United States
RCM;YRMD;Richmond Airport;Richmond, Queensland, Australia
RCQ;SATR;Reconquista Airport;Reconquista, Santa Fe, Argentina
RCR;KRCR;Fulton County Airport;Rochester, Indiana, United States
RCS;EGTO;Rochester Airport;Rochester, Kent, England, United Kingdom
RCT;KRCT;Nartron Field;Reed City, Michigan, United States
RCU;SAOC;Aeropuerto de Rio Cuarto;Rio Cuarto, Cordoba, Argentina
RDA ;;Rockhampton Downs Airport;Rockhampton Downs, Northern Territory, Australia
RDB;PADG;Red Dog Airport;Red Dog, Alaska, United States
RDD;KRDD;Redding Municipal Airport;Redding, California, United States
RDG;KRDG;Reading Regional Airport (Carl A. Spaatz Field);Reading, Pennsylvania, United States
RDM;KRDM;Roberts Field;Redmond, Oregon, United States
RDR;KRDR;Grand Forks Air Force Base;Grand Forks, North Dakota, United States
RDT;GOSR;Richard Toll Airport;Richard Toll, Senegal
RDU;KRDU;Raleigh-Durham International Airport;Raleigh / Durham, North Carolina, United States
RDV;;Red Devil Airport;Red Devil, Alaska, United States
RDZ;LFCR;Rodez-Marcillac Airport;Salles-La-Source, Aveyron, France
REC;SBRF;Guararapes International Airport;Recife, Brazil
RED;KRVL;Mifflin County Airport (FAA: RVL);Reedsville, Pennsylvania, United States
REG;LICR;Reggio Calabria Airport;Reggio di Calabria, Italy
REK;;Reykjavik Metropolitan Area;Reykjavik, Iceland
REL;SAVT;Almirante Marco Andres Zar Airport;Trelew, Chubut, Argentina
REN;UWOO;Orenburg Tsentralny Airport;Orenburg, Russia
REO;KREO;Rome State Airport;Rome, Oregon, United States
REP;VDSR;Angkor International Airport;Siem Reap, Cambodia
RER;MGRT;Retalhuleu Airport;Retalhuleu, Guatemala
RES;SARE;Resistencia International Airport;Resistencia, Chaco, Argentina
RET;ENRS;Rost Airport;Rost, Nordland, Norway
REU;LERS;Reus Airport;Reus (near Tarragona), Spain
REX;MMRX;General Lucio Blanco International Airport;Reynosa, Mexico
RFD;KRFD;Chicago Rockford International Airport (Greater Rockford Airport);Rockford, Illinois, United States
RFG;KRFG;Rooke Field;Refugio, Texas, United States
RGA;SAWE;Hermes Quijada International Airport;Rio Grande, Tierra del Fuego, Argentina
RGL;SAWG;Piloto Civil Norberto Fernandez International Airport;Rio Gallegos, Santa Cruz, Argentina
RGN;VYYY;Yangon International Airport;Yangon, Myanmar
RGO;ZKHM;Chongjin Airport;Chongjin, North Korea, China
RGS;LEBG;Burgos Airport;Burgos, Spain
RHE;LFSR;Reims Champagne Airport;Reims, France
RHI;KRHI;Rhinelander-Oneida County Airport;Rhinelander, Wisconsin, United States
RHO;LGRP;Rhodes International Airport;Rhodes, Greece
RHP;VNRC;Ramechhap Airport;Ramechhap, Nepal
RHT;;Alxa Right Banner Badanjilin Airport;Alxa Right Banner, Inner Mongolia, China
RHV;KRHV;Reid-Hillview Airport of Santa Clara County;San Jose, California, United States
RIA;SBSM;Santa Maria Airport;Santa Maria, Rio Grande do Sul, Brazil
RIB;SLRI;Riberalta Airport;Riberalta, Bolivia
RIC;KRIC;Richmond International Airport;Richmond, Virginia, United States
RID;KRID;Richmond Municipal Airport;Richmond, Indiana, United States
RIE;KRPD;Rice Lake Regional Airport (Carl's Field) (FAA: RPD);Rice Lake, Wisconsin, United States
RIF;KRIF;Richfield Municipal Airport;Richfield, Utah, United States
RIG;SBRG;Rio Grande Airport;Rio Grande, Brazil
RIH;MPSM;Rio Hato Airport;Cocle, Panama
RIK;MRCR;Carrillo Airport;Carrillo, Costa Rica
RIL;KRIL;Garfield County Regional Airport;Rifle, Colorado, United States
RIO;;All Airports;Rio de Janeiro, Brazil
RIR;KRIR;Flabob Airport;Riverside/Rubidoux, California, United States
RIV;KRIV;March Air Reserve Base;Riverside, California, United States
RIW;KRIW;Riverton Regional Airport;Riverton, Wyoming, United States
RIX;EVRA;Riga International Airport;Riga, Latvia
RIZ;;Rizhao Airport;Rizhao, Shandong, China
RJA;VORY;Rajahmundry Airport;Rajahmundry, India
RJH;VGRJ;Shah Makhdum Airport;Rajshahi, Bangladesh
RJK;LDRI;Rijeka Airport;Rijeka, Croatia
RJL;LELO;Logrono-Agoncillo Airport;Logrono, Spain
RKC;;Montague Airport (Yreka Rohrer Field) (FAA: 1O5);Montague, California, United States
RKD;KRKD;Knox County Regional Airport;Rockland, Maine, United States
RKE;EKRK;Roskilde Airport;Roskilde (near Copenhagen), Denmark
RKI;WIBR;Rokot Airport;Sipura, Indonesia
RKP;KRKP;Aransas County Airport;Rockport, Texas, United States
RKR;KRKR;Robert S. Kerr Airport;Poteau, Oklahoma, United States
RKS;KRKS;Rock Springs - Sweetwater County Airport;Rock Springs, Wyoming, United States
RKT;OMRK;Ras Al Khaimah International Airport;Ras Al Khaimah, United Arab Emirates
RKV;BIRK;Reykjavik Airport;Reykjavik, Iceland
RKW;KRKW;Rockwood Municipal Airport;Rockwood, Tennessee, United States
RKZ;ZURK;Shigatse Peace Airport;Shigatse, Tibet Autonomous Region, China
RLD;KRLD;Richland Airport;Richland, Washington, United States
RLG;ETNL;Rostock Laage Airport;Rostock, Germany
RLT;DRZL;Arlit Airport;Arlit, Niger
RMA;YROM;Roma Airport;Roma, Queensland, Australia
RMD;VORG;Ramagundam Airport;Ramagundam, Andhra Pradesh, India
RME;KRME;Griffiss Airpark;Rome, New York, United States
RMF;HEMA;Marsa Alam;Marsa Alam, Egypt
RMG;KRMG;Richard B. Russell Airport;Rome, Georgia, United States
RMI;LIPR;Federico Fellini International Airport;Rimini, Italy
RMK;YREN;Renmark Airport;Renmark, South Australia, Australia
RML;VCCC;Ratmalana Airport;Ratmalana, Sri Lanka
RMN;;Rumginae Airport;Rumginae, Papua New Guinea
RMP;;Rampart Airport;Rampart, Alaska, United States
RMQ;RCMQ;Taichung Ching Chuan Kang Airport;Taichung, Taiwan, Taiwan
RMS;ETAR;Ramstein Air Base;Ramstein, Germany
RNA;AGAR;Ulawa Airport;Arona, Ulawa Island, Solomon Islands
RNB;ESDF;Ronneby Airport;Ronneby, Sweden
RNC;KRNC;Warren County Memorial Airport;McMinnville, Tennessee, United States
RND;KRND;Randolph Air Force Base;Universal City, Texas, United States
RNE;;Renaison Airport;Renaison, France
RNH;KRNH;New Richmond Regional Airport;New Richmond, Wisconsin, United States
RNI;MNCI;Corn Island Airport;Corn Island, Nicaragua
RNN;EKRN;Bornholm Airport;Ronne, Denmark
RNO;KRNO;Reno-Tahoe International Airport;Reno, Nevada, United States
RNP;;Rongelap Airport;Rongelap Atoll, Marshall Islands
RNS;LFRN;St. Jacques Airport;Rennes, France
RNT;KRNT;Renton Municipal Airport;Renton, Washington, United States
RNZ;KRZL;Jasper County Airport (FAA: RZL);Rensselaer, Indiana, United States
ROA;KROA;Roanoke Regional Airport (Woodrum Field);Roanoke, Virginia, United States
ROB;GLRB;Roberts International Airport;Monrovia, Liberia
ROC;KROC;Greater Rochester International Airport;Rochester, New York, United States
ROG;KROG;Rogers Municipal Airport (Carter Field);Rogers, Arkansas, United States
ROI;VTUV;Roi Et Airport;Roi Et, Thailand
ROK;YBRK;Rockhampton Airport;Rockhampton, Queensland, Australia
ROL;;Roosevelt Municipal Airport;Roosevelt, Utah, United States
ROM;;All Airports;Rome, Italy
ROP;PGRO;Rota International Airport (FAA: GRO);Rota Island, Northern Mariana Islands
ROR;PTRO;Babelthuap Airport;Koror, Palau
ROS;SAAR;Rosario - Islas Malvinas International Airport;Rosario, Santa Fe, Argentina
ROT;NZRO;Rotorua Airport;Rotorua, New Zealand
ROU;LBRS;Rousse Airport;Rousse, Bulgaria
ROV;URRR;Rostov-on-Don Airport;Rostov-on-Don, Russia
ROW;KROW;Roswell International Air Center;Roswell, New Mexico, United States
ROX;KROX;Roseau Municipal Airport (Rudy Billberg Field);Roseau, Minnesota, United States
RPB;YRRB;Roper Bar Airport;Roper Bar, Northern Territory, Australia
RPN;LLIB;Rosh Pina Airport;Rosh Pina, Israel
RPR;VARP;Raipur Airport;Raipur, India
RPX;KRPX;Roundup Airport;Roundup, Montana, United States
RRG;FIMR;Sir Gaetan Duval Airport;Rodrigues Island, Mauritius
RRK;VERK;Rourkela Airport;Rourkela, India
RRL;KRRL;Merrill Municipal Airport;Merrill, Wisconsin, United States
RRR;NTKO;Raroia Airport;Raroia, French Polynesia
RRS;ENRO;Roros Airport;Roros, Norway
RRT;KRRT;Warroad International Airport (Swede Carlson Field);Warroad, Minnesota, United States
RSA;SAZR;Santa Rosa Airport;Santa Rosa, La Pampa, Argentina
RSH;PARS;Russian Mission Airport;Russian Mission, Alaska, United States
RSJ;;Rosario Seaplane Base;Orcas Island, Washington, United States
RSL;KRSL;Russell Municipal Airport;Russell, Kansas, United States
RSN;KRSN;Ruston Regional Airport;Ruston, Louisiana, United States
RST;KRST;Rochester International Airport;Rochester, Minnesota, United States
RSW;KRSW;Southwest Florida International Airport;Fort Myers, Florida, United States
RTB;MHRO;Juan Manuel Galvez International Airport;Roatan, Honduras
RTC;VARG;Ratnagiri Airport;Ratnagiri, India
RTM;EHRD;Rotterdam The Hague Airport;Rotterdam, Netherlands
RTN;KRTN;Raton Municipal Airport (Crews Field);Raton, New Mexico, United States
RTS;YRTI;Rottnest Island Airport;Rottnest Island, Western Australia, Australia
RTW;UWSS;Saratov Tsentralny Airport;Saratov, Russia
RUA;HUAR;Arua Airport;Arua, Uganda
RUG;ZSRG;Rugao Air Base;Rugao, Jiangsu, China
RUH;OERK;King Khalid International Airport;Riyadh, Saudi Arabia
RUK;VNRK;Rukumkot Airport;Rukumkot, Nepal
RUM;VNRT;Rumjatar Airport;Rumjatar, Nepal
RUN;FMEE;Roland Garros Airport;St Denis, Reunion, France
RUP;VERU;Rupsi Airport;Rupsi, Meghalaya, India
RUR;NTAR;Rurutu Airport;Rurutu, French Polynesia
RUS;;Marau Sound Airport;Marau Sound, Solomon Islands
RUT;KRUT;Rutland State Airport;Rutland, Vermont, United States
RVE;SKSA;Los Colonizadores Airport;Saravena, Colombia
RVH;ULSS;Rzhevka Airport;Saint Petersburg, Russia
RVK;ENRM;Rorvik Airport, Ryum;Rorvik, Norway
RVN;EFRO;Rovaniemi Airport;Rovaniemi, Finland
RVS;KRVS;Richard Lloyd Jones Jr. Airport;Tulsa, Oklahoma, United States
RVV;;Raivavae Airport;Rairua, French Polynesia
RVY;SURV;Pte. Gral. oscar D. Gestido International Airport;Rivera, Rivera, Uruguay
RWF;KRWF;Redwood Falls Municipal Airport;Redwood Falls, Minnesota, United States
RWI;KRWI;Rocky Mount-Wilson Regional Airport;Rocky Mount, North Carolina, United States
RWL;KRWL;Rawlins Municipal Airport (Harvey Field);Rawlins, Wyoming, United States
RWN;UKLR;Rovno Airport;Rivne, Ukraine
RXE ;KRXE;Rexburg-Madison County Airport;Rexburg, Idaho, United States
RXS;RPVR;Roxas Airport;Roxas City, Capiz, Philippines
RYB;UUBK;Staroselye Airport;Rybinsk, Yaroslavl Oblast, Russia
RYG;ENRY;Moss Airport, Rygge / Rygge Air Station;Rygge (near Moss), Norway
RYN;LFCY;Medis Airport;Royan, France
RZE;EPRZ;Rzeszow-Jasionka Airport;Rzeszow, Poland
RZN;UUWR;Turlatovo Airport;Ryazan, Russia
RZP;RPSD;Cesar Lim Rodriguez (Taytay-Sandoval) Airport;Taytay, Palawan, Philippines
RZZ;KRZZ;Halifax County Airport;Roanoke Rapids, North Carolina, United States
SAA;KSAA;Shively Field;Saratoga, Wyoming, United States
SAB;TNCS;Juancho E. Yrausquin Airport;Saba, Caribbean Netherlands
SAC;KSAC;Sacramento Executive Airport;Sacramento, California, United States
SAD;KSAD;Safford Regional Airport;Safford, Arizona, United States
SAE;BGST;Saattut Heliport;Saattut, Greenland
SAF;KSAF;Santa Fe Municipal Airport;Santa Fe, New Mexico, United States
SAG;;Sagwon Airport;Sagwon, Alaska, United States
SAH;OYSN;El Rahaba Airport (Sanaa International);Sana'a, Yemen
SAI;;San Marino Airport;San Marino, Republic of San Marino
SAJ;;Sirajganj Airport;Sirajganj, Bangladesh
SAK;BIKR;Sauaarkrokur Airport;Sauaarkrokur, Iceland
SAL;MSLP;El Salvador International Airport;San Salvador, El Salvador
SAN;KSAN;San Diego International Airport;San Diego, California, United States
SAO;;All Airports;Sao Paulo, Brazil
SAP;MHLM;La Mesa International Airport;San Pedro Sula, Honduras
SAR;KSAR;Sparta Community Airport (Hunter Field);Sparta, Illinois, United States
SAS;KSAS;Salton Sea Airport;Salton City, California, United States
SAT;KSAT;San Antonio International Airport;San Antonio, Texas, United States
SAU;WATS;Tardamu Airport;Savu Island, East Nusa Tenggara, Indonesia
SAV;KSAV;Savannah/Hilton Head International Airport;Savannah, Georgia (near Hilton Head, South Carolina),United States
SAW;LTFJ;Sabiha Gokcen International Airport;Istanbul, Turkey
SAY;LIQS;Siena-Ampugnano Airport;Siena, Italy
SAZ;GLST;Sasstown Airport;Sasstown, Liberia
SBA;KSBA;Santa Barbara Municipal Airport;Santa Barbara, California, United States
SBD;;Norton Air Force Base;San Bernardino, California, United States
SBF;OADS;Sardeh Band Airport;Sardeh Band, Afghanistan
SBH;TFFJ;Gustaf III Airport;Gustavia, Saint Barthelemy, Saint Barthelemy
SBI;GUSB;Sambailo Airport;Koundara, Guinea
SBK;LFRT;Saint-Brieuc - Armor Airport;Saint-Brieuc, France
SBL;SLSA;Santa Ana del Yacuma Airport;Santa Ana del Yacuma, Bolivia
SBM;KSBM;Sheboygan County Memorial Airport;Sheboygan, Wisconsin, United States
SBN;KSBN;South Bend Regional Airport;South Bend, Indiana, United States
SBO;KSBO;East Georgia Regional Airport (FAA:SBO);Swainsboro, Georgia, United States
SBP;KSBP;San Luis Obispo County Regional Airport;San Luis Obispo, California, United States
SBS;KSBS;Steamboat Springs Airport (Bob Adams Field);Steamboat Springs, Colorado, United States
SBT;KSBD;San Bernardino International Airport;San Bernardino, California, United States
SBU;FASB;Springbok Airport;Springbok, South Africa
SBW;;Sibu Airport;Sibu, Malaysia
SBX;KSBX;Shelby Airport;Shelby, Montana, United States
SBY;KSBY;Salisbury-Ocean City Wicomico Regional Airport;Salisbury, Maryland, United States
SBZ;LRSB;Sibiu International Airport;Sibiu, Romania
SCB;KSCB;Scribner State Airport;Scribner, Nebraska, United States
SCC;PASC;Deadhorse Airport;Deadhorse, Alaska, United States
SCD;;Sulaco Airport;Sulaco, Honduras
SCE;KUNV;University Park Airport (FAA: UNV);State College, Pennsylvania, United States
SCF;KSDL;Scottsdale Airport (FAA: SDL);Scottsdale, Arizona, United States
SCH;KSCH;Schenectady County Airport;Schenectady, New York, United States
SCK;KSCK;Stockton Metropolitan Airport;Stockton, California, United States
SCL;SCEL;Comodoro Arturo Merino Benitez International Airport;Santiago, Chile
SCM;;Scammon Bay Airport;Scammon Bay, Alaska, United States
SCN;EDDR;Saarbrucken Airport;Saarbrucken, Germany
SCO;UATE;Aktau Airport;Aktau, Kazakhstan
SCQ;LEST;Santiago de Compostela Airport;Santiago de Compostela, Spain
SCS;EGPM;Scatsta Airport;Shetland Islands, Scotland, United Kingdom
SCU;MUCU;Antonio Maceo International Airport;Santiago, Cuba
SCV;LRSV;Suceava Airport;Suceava, Romania
SCW;UUYY;Syktyvkar Airport;Syktyvkar, Komi Republic, Russia
SCX;MM57;Salina Cruz Airport (NAS Salina Cruz);Salina Cruz, Oaxaca, Mexico
SCY;SEST;San Cristobal Airport;San Cristobal Island, Galapagos Islands, Ecuador
SDA;ORBI;Baghdad International Airport (formerly ORBS/Saddam Int'l);Baghdad, Iraq
SDC;SCEL;Sandcreek Airport;Sandcreek Village, Guyana
SDD;FNUB;Lubango Airport;Lubango, Angola
SDE;SANE;Vicecomodoro angel de la Paz Aragones Airport;Santiago del Estero, Santiago del Estero, Argentina
SDF;KSDF;Louisville International Airport (Standiford Field);Louisville, Kentucky, United States
SDJ;RJSS;Sendai Airport;Natori, Japan
SDK;WBKS;Sandakan Airport;Sandakan, Malaysia
SDL;ESNN;Sundsvall-HArnosand Airport (Midlanda Airport);Sundsvall, Sweden
SDM;KSDM;Brown Field Municipal Airport;San Diego, California, United States
SDN;ENSD;Sandane Airport, Anda;Gloppen, Sogn og Fjordane, Norway
SDP;PASD;Sand Point Airport;Sand Point, Alaska, United States
SDQ;MDSD;Las Americas International Airport;Punta Caucedo (near Santo Domingo), Dominican Republic
SDR;LEXJ;Santander - Parayas Airport;Santander, Cantabria, Spain
SDU;SBRJ;Santos Dumont Airport;Rio de Janeiro, Brazil
SDV;LLSD;Sde Dov Airport;Tel Aviv, Israel
SDX;KSEZ;Sedona Airport (FAA: SEZ);Sedona, Arizona, United States
SDY;KSDY;Sidney-Richland Municipal Airport;Sidney, Montana, United States
SEA;KSEA;Seattle-Tacoma International Airport;SeaTac (near Seattle and Tacoma), Washington, United States
SEE;KSEE;Gillespie Field;San Diego / El Cajon, California, United States
SEF;KSEF;Sebring Regional Airport;Sebring, Florida, United States
SEG;KSEG;Penn Valley Airport;Selinsgrove, Pennsylvania, United States
SEH;;Senggeh Airport;Senggeh, Indonesia
SEK;;Srednekolymsk Airport;Srednekolymsk, Sakha Republic, Russia
SEL;;All Airports (code was used in Gimpo International Airport);Seoul, South Korea
SEM;KSEM;Craig Field;Selma, Alabama, United States
SEN;EGMC;London Southend Airport;Southend, Essex (near London) United Kingdom
SEP;KSEP;Clark Field Municipal Airport;Stephenville, Texas, United States
SEQ;WIBS;Sungai Pakning Bengkalis Airport;Sungai Pakning Bengkalis, Indonesia
SER;KSER;Freeman Municipal Airport;Seymour, Indiana, United States
SET;;San Esteban Airport;San Esteban, Honduras
SEX;ETAS;Sembach Air Base;Sembach, Germany
SEY;GQNS;Selibaby Airport;Selibaby, Mauritania
SEZ;FSIA;Seychelles International Airport;Mahe, Seychelles
SFA;DTTX;Thyna/El Maou Airport;Sfax, Tunisia
SFB;KSFB;Orlando Sanford International Airport;Sanford, Florida (near Orlando), United States
SFD;SVSR;Las Flecheras Airport;San Fernando de Apure, Venezuela
SFE;RPUS;San Fernando Airport;San Fernando City, La Union, Philippines
SFF;KSFF;Felts Field;Spokane, Washington, United States
SFH;MMSF;San Felipe International Airport;San Felipe, Baja California, Mexico
SFJ;BGSF;Kangerlussuaq Airport;Kangerlussuaq, Greenland
SFL;GVSF;Sao Filipe Airport;Fogo, Cape Verde
SFM;KSFM;Sanford Seacoast Regional Airport;Sanford, Maine, United States
SFO;KSFO;San Francisco International Airport;San Francisco, California, United States
SFQ;LTCH;"Sanliurfa Airport (closed 2007; ? GNY)";Sanliurfa, Turkey
SFS;RPLB;Subic Bay International Airport;Morong, Bataan, Philippines
SFT;ESNS;SkellefteA Airport;SkellefteA, SkellefteA, Sweden
SFZ;KSFZ;North Central State Airport;Pawtucket, Rhode Island, United States
SGA;OASN;Sheghnan Airport;Sheghnan, Afghanistan
SGC;USRR;Surgut Airport;Surgut, Russia
SGD;EKSB;Sonderborg Airport;Sonderborg, Denmark
SGE;EDGS;Siegerland Airport;Burbach, Germany
SGF;KSGF;Springfield-Branson National Airport;Springfield, Missouri, United States
SGG;BGSG;Sermiligaaq Heliport;Sermiligaaq, Greenland
SGH;KSGH;Springfield-Beckley Municipal Airport;Springfield, Ohio, United States
SGK;;Sangapi Airport;Sangapi, Papua New Guinea
SGL;RPLS;Danilo Atienza (Sangley Point) Air Base;Cavite City, Cavite, Philippines
SGN;VVTS;Tan Son Nhat International Airport;Ho Chi Minh City, Vietnam
SGR;KSGR;Sugar Land Regional Airport;Sugar Land, Texas (near Houston), United States
SGT;KSGT;Stuttgart Municipal Airport;Stuttgart, Arkansas, United States
SGU;KSGU;St. George Municipal Airport;St. George, Utah, United States
SGY;PAGY;Skagway Airport;Skagway, Alaska, United States
SHA;ZSSS;Shanghai Hongqiao International Airport;Shanghai, China
SHB;RJCN;Nakashibetsu Airport;Nakashibetsu, Japan
SHD;KSHD;Shenandoah Valley Regional Airport;Staunton / Waynesboro / Harrisonburg, Virginia, United States
SHE;ZYTX;Shenyang Taoxian International Airport;Shenyang, Liaoning, China
SHF;;Shihezi Huayuan Airport;Shihezi, Xinjiang, China
SHG;PAHG;Shungnak Airport;Shungnak, Alaska, United States
SHH;PASH;Shishmaref Airport;Shishmaref, Alaska, United States
SHI;RORS;Shimojishima Airport;Shimojishima, Japan
SHJ;OMSJ;Sharjah International Airport;Sharjah, United Arab Emirates
SHL;VEBI;Barapani Airport;Shillong, India
SHM;RJBD;Nanki-Shirahama Airport;Shirahama, Japan
SHN;KSHN;Sanderson Field;Shelton, Washington, United States
SHO;RKND;Sokcho Airport;Sokcho, South Korea
SHP;ZBSH;Qinhuangdao Shanhaiguan Airport;Qinhuangdao, Hebei, China
SHR;KSHR;Sheridan County Airport;Sheridan, Wyoming, United States
SHS;ZHSS;Shashi Airport;Jingzhou, Hubei, China
SHT;YSHT;Shepparton Airport;Shepparton, Victoria, Australia
SHV;KSHV;Shreveport Regional Airport;Shreveport, Louisiana, United States
SHX;PAHX;Shageluk Airport;Shageluk, Alaska, United States
SIA;ZLSN;Xiguan Airport;Xi'an, Shaanxi, China
SID;GVAC;Amilcar Cabral International Airport;Sal Island, Cape Verde
SIG;TJIG;Fernando Luis Ribas Dominicci Airport;San Juan, Puerto Rico
SII;GMMF;Sania Ramel Airport;Sidi Ifni, Morocco
SIJ;BISI;Siglufjoraur Airport;Siglufjoraur, Iceland
SIK;KSIK;Sikeston Memorial Municipal Airport;Sikeston, Missouri, United States
SIN;WSSS;Singapore Changi Airport;Changi, Singapore
SIO;YSMI;Smithton Airport;Smithton, Tasmania, Australia
SIP;UKFF;Simferopol International Airport;Simferopol, Ukraine
SIR;LSGS;Sion Airport;Sion, Switzerland
SIS;FASS;Sishen Airport;Sishen, Northern Cape, South Africa
SIT;PASI;Sitka Rocky Gutierrez Airport;Sitka, Alaska, United States
SIU;MNSI;Siuna Airport;Siuna, Nicaragua
SIV;KSIV;Sullivan County Airport;Sullivan, Indiana, United States
SIY;KSIY;Siskiyou County Airport;Montague, California, United States
SJC;KSJC;San Jose International Airport;San Jose, California, United States
SJD;MMSD;Los Cabos International Airport;Los Cabos, Mexico
SJE;SKSJ;Jorge Enrique Gonzalez Airport;San Jose del Guaviare, Colombia
SJI;RPUH;San Jose Airport;San Jose, Occidental Mindoro, Philippines
SJJ;LQSA;Sarajevo International Airport;Sarajevo, Bosnia and Herzegovina
SJK;SBSJ;Sao Jose dos Campos Regional Airport;Sao Jose dos Campos, Brazil
SJN;KSJN;St. Johns Industrial Air Park;St. Johns, Arizona, United States
SJO;MROC;Juan Santamaria International Airport;San Jose, Costa Rica
SJP;SBSR;Prof. Eribelto Manoel Reino State Airport;Sao Jose do Rio Preto, Brazil
SJT;KSJT;San Angelo Regional Airport (Mathis Field);San Angelo, Texas, United States
SJU;TJSJ;Luis Munoz Marin International Airport;San Juan, Puerto Rico
SJW;ZBSJ;Shijiazhuang Zhengding International Airport;Shijiazhuang, China
SJX;;Sartaneja Airport;Sarteneja, Belize
SJY;EFSI;SeinAjoki Airport;SeinAjoki, Finland
SJZ;LPSJ;Sao Jorge Airport;Azores, Portugal
SKA;KSKA;Fairchild Air Force Base;Spokane, Washington, United States
SKB;TKPK;Robert L. Bradshaw International Airport;Basseterre, Saint Kitts and Nevis
SKE;ENSN;Skien Airport, Geiteryggen;Skien, Telemark, Norway
SKF;KSKF;Lackland Air Force Base / Kelly Field Annex;San Antonio, Texas, United States
SKG;LGTS;Makedonia Airport;Thessaloniki, Greece
SKI;DABP;Skikda Airport;Skikda, Algeria
SKK;PFSH;Shaktoolik Airport (FAA: 2C7);Shaktoolik, Alaska, United States
SKN;ENSK;Stokmarknes Airport, Skagen;Hadsel, Nordland, Norway
SKP;LWSK;Skopje Airport;Skopje, Macedonia
SKS;EKSP;Skrydstrup Airport;Vojens, Denmark
SKT;OPST;Sialkot International Airport;Sialkot, Pakistan
SKU;LGSY;Skyros Island National Airport;Skyros, Greece
SKV;HESC;St. Catherine International Airport;St. Catherine, Egypt
SKW;PASW;Skwentna Airport;Skwentna, Alaska, United States
SKX;UWPS;Saransk Airport;Saransk, Russia
SKY;KSKY;Griffing Sandusky Airport;Sandusky, Ohio, United States
SKZ;OPSK;Sukkur Airport;Sukkur, Pakistan
SLA;SASA;Martin Miguel de Guemes International Airport;Salta, Salta, Argentina
SLB;KSLB;Storm Lake Municipal Airport;Storm Lake, Iowa, United States
SLC;KSLC;Salt Lake City International Airport;Salt Lake City, Utah, United States
SLD;LZSL;Slia? Airport;Slia?, Slovakia
SLE;KSLE;McNary Field;Salem, Oregon, United States
SLG;KSLG;Smith Field;Siloam Springs, Arkansas, United States
SLH;NVSC;Sola Airport;Sola, Vanua Lava, Torba Province, Vanuatu
SLI;FLSW;Solwezi Airport;Solwezi, Zambia
SLJ;YSOL;Solomon Airport;Karijini National Park, Western Australia, Australia
SLK;KSLK;Adirondack Regional Airport;Saranac Lake, New York, United States
SLL;OOSA;Salalah Airport;Salalah, Oman
